state initials,county name,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,year
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Plymouth County,1842,2034,2470,3072,3349,2021
MA,Suffolk County,1842,2034,2470,3072,3349,2021
MA,Suffolk County,1842,2034,2470,3072,3349,2021
MA,Suffolk County,1842,2034,2470,3072,3349,2021
MA,Suffolk County,1842,2034,2470,3072,3349,2021
NH,Rockingham County,1842,2034,2470,3072,3349,2021
NH,Rockingham County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Plymouth County,1104,1270,1674,2115,2460,2021
MA,Essex County,1045,1219,1566,1948,2124,2021
MA,Essex County,1045,1219,1566,1948,2124,2021
MA,Essex County,1045,1219,1566,1948,2124,2021
MA,Essex County,1045,1219,1566,1948,2124,2021
MA,Essex County,1045,1219,1566,1948,2124,2021
MA,Essex County,1045,1219,1566,1948,2124,2021
MA,Essex County,1045,1219,1566,1948,2124,2021
MA,Essex County,1045,1219,1566,1948,2124,2021
MA,Essex County,1045,1219,1566,1948,2124,2021
MA,Essex County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
NH,Rockingham County,1045,1219,1566,1948,2124,2021
MA,Middlesex County,1147,1282,1663,2068,2255,2021
MA,Middlesex County,1147,1282,1663,2068,2255,2021
MA,Middlesex County,1147,1282,1663,2068,2255,2021
MA,Middlesex County,1147,1282,1663,2068,2255,2021
MA,Middlesex County,1147,1282,1663,2068,2255,2021
MA,Middlesex County,1147,1282,1663,2068,2255,2021
MA,Middlesex County,1147,1282,1663,2068,2255,2021
MA,Middlesex County,1147,1282,1663,2068,2255,2021
MA,Middlesex County,1147,1282,1663,2068,2255,2021
MA,Middlesex County,1147,1282,1663,2068,2255,2021
NH,Rockingham County,1219,1259,1632,2336,2433,2021
NH,Rockingham County,1219,1259,1632,2336,2433,2021
NH,Rockingham County,1219,1259,1632,2336,2433,2021
NH,Rockingham County,1219,1259,1632,2336,2433,2021
NH,Rockingham County,1219,1259,1632,2336,2433,2021
NH,Rockingham County,1219,1259,1632,2336,2433,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Rockingham County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
NH,Strafford County,1033,1102,1419,1924,2375,2021
CO,Boulder County,1385,1547,1867,2556,2947,2021
KY,Edmonson County,690,694,884,1119,1490,2021
KY,Warren County,690,694,884,1119,1490,2021
KY,Allen County,558,562,740,976,1230,2021
KY,Butler County,513,516,680,964,1111,2021
WA,Kitsap County,1047,1225,1587,2226,2573,2021
CT,Fairfield County,1027,1245,1557,1983,2387,2021
CT,Fairfield County,1027,1245,1557,1983,2387,2021
CT,Fairfield County,1027,1245,1557,1983,2387,2021
CT,Fairfield County,1027,1245,1557,1983,2387,2021
CT,Fairfield County,1027,1245,1557,1983,2387,2021
CT,Fairfield County,1027,1245,1557,1983,2387,2021
CT,Fairfield County,1027,1245,1557,1983,2387,2021
CT,Fairfield County,1215,1441,1841,2317,2729,2021
CT,Fairfield County,1215,1441,1841,2317,2729,2021
CT,Fairfield County,1215,1441,1841,2317,2729,2021
CT,Fairfield County,1215,1441,1841,2317,2729,2021
CT,Fairfield County,1215,1441,1841,2317,2729,2021
CT,Fairfield County,1215,1441,1841,2317,2729,2021
CT,Fairfield County,1215,1441,1841,2317,2729,2021
CT,Fairfield County,1215,1441,1841,2317,2729,2021
CT,Fairfield County,1406,1764,2131,2654,2960,2021
CT,Fairfield County,1406,1764,2131,2654,2960,2021
CT,Fairfield County,1406,1764,2131,2654,2960,2021
CT,Fairfield County,1406,1764,2131,2654,2960,2021
CT,Fairfield County,1406,1764,2131,2654,2960,2021
CT,Fairfield County,1406,1764,2131,2654,2960,2021
CT,Fairfield County,1406,1764,2131,2654,2960,2021
CT,Fairfield County,1406,1764,2131,2654,2960,2021
TX,Cameron County,627,631,806,1059,1218,2021
GA,Brantley County,770,775,940,1314,1440,2021
GA,Glynn County,770,775,940,1314,1440,2021
GA,McIntosh County,770,775,940,1314,1440,2021
NY,Erie County,794,824,982,1221,1370,2021
NY,Niagara County,794,824,982,1221,1370,2021
NC,Alamance County,681,730,947,1205,1285,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Chittenden County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Franklin County,1161,1345,1732,2154,2349,2021
VT,Grand Isle County,1161,1345,1732,2154,2349,2021
VT,Grand Isle County,1161,1345,1732,2154,2349,2021
VT,Grand Isle County,1161,1345,1732,2154,2349,2021
VT,Grand Isle County,1161,1345,1732,2154,2349,2021
VT,Grand Isle County,1161,1345,1732,2154,2349,2021
MD,St. Mary's County,951,1175,1433,2019,2409,2021
OH,Carroll County,525,603,795,1014,1078,2021
OH,Stark County,525,603,795,1014,1078,2021
FL,Lee County,997,1019,1282,1670,1887,2021
